�=50;Vulnerabilities=400
47;"CMS Webmanager-pro"
48;"CNStats 2.9"
49;"CaLogic Calendars V1.2.2"
50;"Calendar programming by AppIdeas.com" filetype:php
51;"ClanSys v.1.1"
52;"Cms.tut.su, 2009 g."
53;"Content managed by the Etomite Content Management System"
54;"Copyright (C) 2000  Phorum Development Team"
55;"Copyright (c) 2004-2006 by Simple PHP Guestbook" 
56;"Copyright 2000 - 2005 Miro International Pty Ltd. All rights reserved" "Mambo is Free Software released"
57;"Copyright 2004 easy-content forums"
58;"Copyright 2004 Ãƒâ€šÃ‚Â© Digital Scribe v.1.4"
59;"Copyright 2005 Affiliate Directory"
60;"Copyright 2008 ImenAfzar ver :2.0.0.0"
61;"Copyright @2007 Iatek LLC"
62;"Copyright Devellion Limited 2005. All rights reserved."
63;"Copyright Interactivefx.ie" 
64;"Copyright KerviNet"
65;"Copyright MaxiSepet ©" 
66;"Copyright Ãƒâ€šÃ‚Â© 2002 Agustin Dondo Scripts"
67;"Copyright-2008@zeejobsite.com"
68;"Copyrights Â© 2005 Belgische Federale Overheidsdiensten"
69;"CosmoShop by Zaunz Publishing" inurl:"cgi-bin/cosmoshop/lshop.cgi" -johnny.ihackstuff.com -V8.10.106 -V8.10.100 -V.8.10.85 -V8.10.108 -V8.11*
70;"Create your own free webring and bring traffic to your website. Join now, it's free!"
71;"Created by weenCompany" 
72;"Creative Guestbook"
73;"Cyphor (Release:" -www.cynox.ch
74;"CzarNews v1.12 " | "CzarNews v1.13" | "CzarNews v1.14 "
75;"DeeEmm CMS"
76;"Desenvolvido por WeBProdZ"
77;"Desenvolvido por: Fio Mental"
78;"Designed & Developed by N.E.T E-Commerce Group. All Rights Reserved."
79;"Designed & Developed by Zeeways.com"
80;"Designed & Developed by net-finity"
81;"Designed and Developed by Debliteck Ltd" 
82;"Designed and powered by AWS Sports"
83;"Designed by Spaceacre" 
84;"Devana is an open source project !"
85;"Developed by Bispage.com" 
86;"Developed by Infoware Solutions"
87;"Developed by Quate.net."
88;"Developed by rbk"
89;"Diseño Web Hernest Consulting S.L." 
90;"Driven by DokuWiki"
91;"Easy-Clanpage v2.2"
92;"Emanuele Guadagnoli" "CcMail"
93;"Emefa Guestbook V 3.0"
94;"Enter ip" inurl:"php-ping.php"
95;"Everyone should be on TV! Now you can upload 2 TV"
96;"Eyeland Studio Inc. All Rights Reserved." 
97;"Eyeland Studio Inc. All Rights Reserved." inurl:game.php 
98;"FC Bigfeet" -inurl:mail
99;"Factux le facturier libre V 1.1.5" 
100;"FlatNuke" "Valid HTML 4.01!" "Valid CSS!" "Get RSS 2.0 Feed" "Get RSS 
101;"FlatNuke" "Valid HTML 4.01!" "Valid CSS!" "Get RSS 2.0 Feed" "Get RSS
102;"Forum Active Bulletin Board version 1.1 béta 2"
103;"FrontAccounting"
104;"Galerie 3.2 Â© 2004 by progressive"
105;"Gallery powered by fMoblog"
106;"Généré par KDPics v1.18" 
107;"Help * Contact * Imprint * Sitemap" | "powered by papoo" | "powered by cms papoo"
108;"Help desk software by United Web Coders rev. 3.0.640" 
109;"IceWarp Web Mail 5.3.0" "Powered by IceWarp"
110;"Ideal BB Version: 0.1" -idealbb.com
111;"Instant Free File Uploader" 
112;"Internet Photoshow - Slideshow"
113;"Jevonweb Guestbook"
114;"Jinzora Media Jukebox"
115;"Ladder Scripts by http://www.mygamingladder.com"
116;"Ladder Scripts by"
117;"Liberum Help Desk, Copyright (C) 2001 Doug Luxem"
118;"Liberum Help Desk, Copyright (C) 2001 Doug Luxem. Please view the license
119;"LinPHA Version 1.3.x" or "The LinPHA developers" 
120;"Maintained with Subscribe Me 2.044.09p"+"Professional" inurl:"s.pl"
121;"MangoBery 1.0 Alpha"
122;"Marketplace Version 1.1.1"
123;"Members Statistics" +"Total Members" +"Guests Online"
124;"MidiCart PHP Database Management"
125;"Mimicboard2 086"+"2000 Nobutaka Makino"+"password"+"message" inurl:page=1
126;"MobPartner Counter" "upload files" 
127;"Multi-Page Comment System"
128;"MunzurSoft Wep Portal W3"
129;"My Photo v1.46.4 Â© Big Resources"
130;"News Managed by Ditto News"
131;"News generated by Utopia News Pro" | "Powered By: Utopia News Pro"
132;"Obtenez votre forum Aztek" -site:forum-aztek.com
133;"Online Store - Powered by ProductCart"
134;"PHP BP Team"   
135;"PHP Easy Downloader"
136;"PHP Gallery © 2010 PHP Weby hostgator coupon" 
137;"PHP Gallery © 2010 PHP Weby hostgator coupon"
138;"PHP Link Portal v1.95.1 Â© Big Resources, Inc."
139;"PHP Project Management 0.8.10"
140;"PHP WEBQUEST VERSION " or inurl:"/phpwebquest/" 
141;"PHPAuction GPL Enhanced V2.51 by AuctionCode.com" 
142;"PHPGlossar Version 0.8"
143;"PHPNews Version 0.93"
144;"PHPWebAdmin for hMailServer" intitle:PHPWebAdmin -site:hmailserver.com
145;"PKs Movie Database"
146;"POWERED BY ALITALK"
147;"POWERED BY LOG1 CMS"
148;"POWERED BY PHPNUKE.IR"
149;"POWERED BY ZIPBOX MEDIA" inurl:"album.php"
150;"POWERED BY: WEBINSPIRE"
151;"Page created in" "seconds by glFusion" +RSS
152;"ParsBlogger  ? 2006. All rights reserved"
153;"Personal .NET Portal"
154;"PhpCollab . Log In" | "NetOffice . Log In" | (intitle:"index.of." intitle:phpcollab|netoffice inurl:phpcollab|netoffice -gentoo)
155;"PhpLinkExchange v1.02" 
156;"Power by Blakord Portal"
157;"Power by:RichStrong CMS"
158;"PowerMovieList 0.14 Beta Copyright"
159;"Powerd by www.e-webtech.com" 
160;"Powerd by www.e-webtech.com"
161;"Powered *: newtelligence" ("dasBlog 1.6"| "dasBlog 1.5"| "dasBlog 1.4"|"dasBlog 1.3")
162;"Powered By 0DayDB v2.3"
163;"Powered By 4smart" 
164;"Powered By 4smart"
165;"Powered By : Yamamah Version 1.00" 
166;"Powered By AV Arcade"
167;"Powered By Aardvark Topsites PHP 4.2.2"
168;"Powered By AlstraSoft AskMe Pro"
169;"Powered By Aqua Cms"
170;"Powered By Basic CMS SweetRice"
171;"Powered By CMS-BRD"
172;"Powered By CrownWeb.net!" inurl:"page.cfm"
173;"Powered By Dejcom Market CMS"
174;"Powered By Dew-NewPHPLinks v.2.1b"
175;"Powered By DynamicPAD"
176;"Powered By EgyPlus"
177;"Powered By Gravity Board X v2.0 BETA"
178;"Powered By HASHE"
179;"Powered By IP.Board 3.0.0 Beta 5"
180;"Powered By OpenCart"
181;"Powered By PageAdmin CMS Free Version"
182;"Powered By Pligg" + "Legal: License and Source"
183;"Powered By ScozNews"
184;"Powered By Steamcast "0.9.75 beta
185;"Powered By The Black Lily 2007"
186;"Powered By W3infotech"
187;"Powered By Webcards"
188;"Powered By X7 Chat"
189;"Powered By Zoopeer"
190;"Powered By diskos"
191;"Powered By phpBB Garage 1.2.0"
192;"Powered By phpCOIN 1.2.2"
193;"Powered By phpCOIN v1.2.1" / "mod.php?mod=faq"  
194;"Powered By: lucidCMS 1.0.11"
195;"Powered by     YDC"
196;"Powered by  MetInfo  2.0"
197;"Powered by  MetInfo 3.0"
198;"Powered by  vlBook 1.21"
199;"Powered by  www.aspportal.net"
200;"Powered by 68kb" 
201;"Powered by : elkagroup.com" 
202;"Powered by A-CART"
203;"Powered by AJ-Fork v.167"
204;"Powered by AMCMS3"
205;"Powered by Absolute File Send"
206;"Powered by Absolute Podcast"
207;"Powered by Active PHP Bookmarks v1.3" inurl:.view_group.php?id= 
208;"Powered by Ajax Portal 3.0"
209;"Powered by AlstraSoft SendIt Pro"
210;"Powered by Atomic Photo Album" inurl:"photo.php?apa_album_ID="
211;"Powered by AzDg" (2.1.3 | 2.1.2 | 2.1.1)
212;"Powered by BIGACE 2.4"
213;"Powered by BIGACE 2.5"
214;"Powered by BLOG:CMS"|"Powered by blogcms.com"|"2003-2004, Radek Hulán"
215;"Powered by Battle Blog"
216;"Powered by BosClassifieds Classified Ads System"
217;"Powered by Burning Board Lite 1.0.2 * 2001-2004"
218;"Powered by Burning Board Lite 1.0.2" or "Powered by Burning Board 2.3.6"
219;"Powered by Burning Board" -exploit -johnny
220;"Powered by CCLeague Pro"
221;"Powered by CMS.GE"
222;"Powered by CMScout Â©2005 CMScout Group"
223;"Powered by CMSimple"
224;"Powered by ClanAdmin Tools v1.4.2"
225;"""Powered by ClanTiger"";"
226;"Powered by ClanTiger"
227;"Powered by Claroline" -demo
228;"Powered by Clicknet CMS"
229;"Powered by Clipshare"
230;"Powered by Comdev News Publisher"
231;"Powered by ComicShout"
232;"Powered by CommonSense CMS" 
233;"Powered by Content Injector v1.52"
234;"Powered by Content Injector v1.53"
235;"Powered by Coppermine Photo Gallery" ( "v1.2.2 b" | "v1.2.1" | "v1.2" | "v1.1" | "v1.0")
236;"Powered by Coppermine Photo Gallery"
237;"Powered by CubeCart 3.0.4" 
238;"Powered by CubeCart"
239;"Powered by CuteNews"
240;"Powered by DCP-Portal v5.5"
241;"Powered by DMXReady Site Chassis Manager" -site:dmxready.com
242;"Powered by DVHome.cn"
243;"Powered by DWdirectory"
244;"Powered by DZcms"
245;"Powered by Dayfox Designs"
246;"Powered by DesClub.com - phpLinkat"
247;"Powered by DigitalHive"
248;"Powered by Download 3000"
249;"Powered by Drake CMS" inurl:index.php?option=guestbook
250;"Powered by Drumbeat" inurl:index02.php 
251;"Powered by ECShop v2.5.0"
252;"Powered by EPay Enterprise" inurl:"shop.htm?cid=" | nurl:"shop.php?cid="
253;"Powered by EZCMS"
254;"Powered by Elgg, the leading open source social networking platform"
255;"Powered by Espinas IT" 
256;"Powered by ExBB "
257;"Powered by F3Site"
258;"Powered by FUDForum 2.6" -site:fudforum.org -johnny.ihackstuff
259;"Powered by FUDForum 2.7" -site:fudforum.org -johnny.ihackstuff
260;"Powered by FUDforum"
261;"Powered by Fantastic News v2.1.2" or "Powered by Fantastic News v2.1.3"
262;"Powered by FlashGameScript"
263;"Powered by ForumApp"
264;"Powered by FreeWebshop"
265;"Powered by FreeWebshop.org 2.2.1"
266;"Powered by FubarForum v1.5"
267;"Powered by FubarForum v1.6"
268;"Powered by GGCMS"
269;"Powered by GTChat 0.95"+"User Login"+"Remember my login information"
270;"Powered by Gallery v1.4.4"
271;"Powered by GameSiteScript"
272;"Powered by GeN4"
273;"Powered by GetMyOwnArcade"
274;"Powered by Glossword 1.8.11" OR "Powered by Glossword 1.8.6"
275;"Powered by Gravy Media"
276;"Powered by Grayscale Blog"
277;"Powered by How2asp"
278;"Powered by IMGallery"
279;"Powered by INVOhost"
280;"Powered by IceWarp Software" inurl:mail
281;"Powered by Ikonboard 3.1.1"
282;"Powered by Invision Power Board(U) v1.3 Final"
283;"Powered by KaiBB 1.0.1"
284;"Powered by Knowledge Base"
285;"Powered by LDU"
286;"Powered by Leap"
287;"Powered by LifeType" "RSS 0.90" "RSS 1.0" "RSS 2.0" "Valid XHTML 1.0 Strict and CSS"
288;"Powered by LightBlog" - Powered by LightBlog
289;"Powered by LightNEasy"
290;"Powered by Locazolist Copyright © 2006"
291;"Powered by LoudBlog"
292;"Powered by Loudblog"
293;"Powered by MD-Pro" | "made with MD-Pro"
294;"Powered by MDForum"
295;"Powered by Maian Recipe v1.0"
296;"Powered by Md-Pro"
297;"Powered by Megabook *" inurl:guestbook.cgi
298;"Powered by MercuryBoard [v1"
299;"Powered by MercuryBoard"
300;"Powered by Minerva"
301;"Powered by MobPartner" inurl:"chat.php"
302;"Powered by My Blog" intext:"FuzzyMonkey.org"
303;"Powered by My PHP Indexer 1.0"
304;"Powered by MySpace Content Zone"
305;"Powered by NovaBoard v1.0.0"
306;"Powered by NovaBoard v1.1.2"
307;"Powered by Nukedit"
308;"Powered by OnePound"
309;"Powered by Online Grades"
310;"Powered by Orca Interactive Forum Script"
311;"Powered by Ovidentia"
312;"Powered by PG Online Training Solution - learning management system"
313;"Powered by PG Real Estate Solution - real estate web site design"
314;"Powered by PG Roomate Finder Solution - roommate estate web site design"
315;"Powered by PHP Advanced Transfer Manager v1.30"
316;"Powered by PHP Director 0.2"
317;"Powered by PHP Director"
318;"Powered by PHP Live! v3.3"
319;"Powered by PHP Photo Album"
320;"Powered by PHP Shop from DeltaScripts"
321;"Powered by PHP iCalendar"
322;"Powered by PHP-Fusion v6.00.110" | "Powered by PHP-Fusion v6.00.2.." | "Powered by PHP-Fusion v6.00.3.." -v6.00.400 -johnny.ihackstuff
323;"Powered by PHP-Update" -site:www.php-update.co.uk
324;"Powered by PHPBasket"
325;"Powered by PHPizabi v0.848b C1 HFP1"
326;"Powered by PMOS Help Desk"
327;"Powered by PWP Version 1-5-1" AND inurl:"/wiki/run.php"
328;"Powered by ParsBlogger"
329;"Powered by Philboard" inurl:"philboard_forum.asp"
330;"Powered by Populum" 
331;"Powered by PowerPortal v1.3"
332;"Powered by ProjectCMS"
333;"Powered by PsNews"   
334;"Powered by PunBB"
335;"Powered by Quick.Cart"
336;"Powered by Quick.Cms"
337;"Powered by RGameScript"
338;"Powered by RW::Download v2.0.3 lite"
339;"Powered by Real Estate Portal"
340;"Powered by RealAdmin and Red Cow Technologies, Inc." 
341;"Powered by Reciprocal Links Manager"
342;"Powered by RedCat" inurl:index.php?contentId= 
343;"""Powered by Rock Band CMS 0.10"";"
344;"Powered by SLAED CMS"
345;"Powered by SMF"
346;"Powered by SOFTMAN"
347;"Powered by SOOP Portal Raven 1.0b"
348;"Powered by SazCart"
349;"Powered by Scallywag" 
350;"Powered by Scratcher" 
351;"Powered by Scripteen Free Image Hosting Script V 2.3"
352;"Powered by Scripteen Free Image Hosting Script V1.2"
353;"Powered by Seditio"
354;"Powered by Shadowed Portal"
355;"Powered by Shop-Script FREE"
356;"Powered by Shout!"
357;"Powered by Simple PHP Text newsletter"
358;"Powered by Simplog"
359;"Powered by SiteEngine"
360;"Powered by SiteX 0.7 Beta"   
361;"Powered by Smoothflash"
362;"Powered by SocketMail Lite version 2.2.8. Copyright Â© 2002-2006"
363;"Powered by SoftbizScripts" "ALL JOBS"
364;"Powered by SoftbizScripts" "OUR SPONSORS"
365;"Powered by SoftbizScripts" inurl:"searchresult.php?sbcat_id="
366;"Powered by SoftbizScripts" inurl:store_info.php
367;"Powered by TS Special Edition" 
368;"Powered by TinyPHPForum v3.61"
369;"Powered by UCStats version 1.1" 
370;"Powered by UNAK-CMS"
371;"Powered by UNO.com.my"
372;"Powered by UPB" (b 1.0)|(1.0 final)|(Public Beta 1.0b)
373;"Powered by UPB"
374;"Powered by VS PANEL 7.5.5"
375;"Powered by VS PANEL"
376;"Powered by Vsns Lemon" intitle:"Vsns Lemon"
377;"Powered by WSN Guest" 
378;"Powered by WebStudio eCatalogue"
379;"Powered by WebStudio eHotel"
380;"Powered by WebText"
381;"Powered by Woltlab Burning Board" -"2.3.3" -"v2.3.3" -"v2.3.2" -"2.3.2"
382;"Powered by WordPress" -html filetype:php -demo -wordpress.org -bugtraq
383;"Powered by WowBB" -site:wowbb.com
384;"Powered by XHP CMS" -ihackstuff -exploit -xhp.targetit.ro
385;"Powered by XMB"
386;"Powered by XOOPS 2.2.3 Final"
387;"Powered by Xaraya" "Copyright 2005"
388;"Powered by Xplode CMS"
389;"Powered by YaPig V0.92b"
390;"Powered by YourTube v1.0"
391;"Powered by ZeeMatri"
392;"Powered by Zomplog"
393;"Powered by Zorum 3.5"
394;"Powered by [ iSupport 1.8 ]"
395;"Powered by and copyright class-1"  0.24.4
396;"Powered by autolinks pro 2.1" inurl:register.php
397;"Powered by bSpeak 1.10"
398;"Powered by beamospetition 1.0.12"
399;"Powered by bp blog 6.0"
400;"Powered by cifshanghai.com" 
401;"Powered by cityadmin and Red Cow Technologies, Inc."
402;"Powered by cpCommerce"
403;"Powered by eXV2 Vers"
404;"Powered by ezContents Version 1.4.5"
405;"Powered by i-pos Storefront"
406;"Powered by iNetScripts" 
407;"Powered by iScripts SocialWare"
408;"Powered by ispCP Omega" 
409;"Powered by jSite 1.0 OE"
410;"Powered by mlffat"
411;"Powered by mnoGoSearch - free web search engine software"
412;"Powered by mojoPortal" 
413;"Powered by myBusinessAdmin and Red Cow Technologies, Inc."
414;"Powered by myUPB" 
415;"Powered by nzFotolog v0.4.1 Â© 2005-2006 Ricardo Amaral" 
416;"Powered by ocPortal" -demo -ocportal.com
417;"Powered by osCMax v2.0" , "Copyright @" "RahnemaCo.com" 
418;"Powered by photokorn"
419;"Powered by phpCC Beta 4.2"
420;"Powered by phpMySport"
421;"Powered by sNews " inurl:index.php?id= 
422;"Powered by sNews" 
423;"Powered by samart-cms"
424;"Powered by sendcard - an advanced PHP e-card program" -site:sendcard.org
425;"Powered by sendcard - an advanced PHP e-card program"
426;"Powered by visinia"
427;"Powered by web directory script"
428;"Powered by webSPELL"
429;"Powered by words tag script"
430;"Powered by wpQuiz" inurl:index.php 
431;"Powered by wpQuiz"
432;"Powered by xchangeboard"
433;"Powered by xeCMS"
434;"Powered by yacs"
435;"Powered by yappa-ng 2.3.1" AND "Powered by yappa-ng 2.3.1"
436;"Powered by yappa-ng"
437;"Powered by: Arab Portal v2"
438;"Powered by: Censura"
439;"Powered by: Elite Gaming Ladders v3.2"
440;"Powered by: IRIran.net"
441;"Powered by: Land Down Under 800" |  "Powered by: Land Down Under 801" - www.neocrome.net
442;"Powered by: MFH v1"
443;"Powered by: MyPHP Forum"
444;"Powered by: PHP Link Directory"
445;"Powered by: PhotoPost PHP 4.6" or "Powered by: PhotoPost PHP 4.5"
446;"Powered by: PhotoPost PHP 4.6.5" 
447;"Powered by: PostGuestbook 0.6.1"
448;"Powered by: PreProjects"
449;"Powered by: Southburn"
450;"Powered by: Yes Solutions" 
451;"Powered by: eSmile"
452;"Powered by: vBulletin * 3.0.1"  inurl:newreply.php
453;"Powie's PSCRIPT MatchMaker 4.05"
454;"REALTOR 747 - Version 4.11"
455;"RS MAXSOFT"
456;"Review Script" "Phil Taylor"
457;"Runcms Copyright" "2002 - 2007" +"page created"
458;"S-CMS by matteoiamma"
459;"SOOP Portal 2.0"
460;"SQuery 4.5" |"SQuery 4.0" |"SQuery 3.9" | inurl:"modules.php?name=SQuery"
461;"Scientific Image DataBase"
462;"Script réalisé par BinGo PHP"
463;"Search Adult Directory:"
464;"Search Affiliate Programs:"
465;"Search Projects" intitle:"The ultimate project website"
466;"Search | Invite | Mail | Blog | Forum"
467;"Send amazing greetings to your friends and relative!" 
468;"Send amazing greetings to your friends and relative!"
469;"ShopMaker v1.0"
470;"Signkorn Guestbook 1.3"
471;"SimpleBlog 2.3 by 8pixel.net"
472;"Sinapis by scripter.ch"
473;"Site designed and built Powered by GlobalWebTek."
474;"Site designed and built by Powder Blue." inurl:index.php?id_page=
475;"Site designed and built by ProWeb Associates."
476;"Site powered By Limbo CMS"
477;"Site powered by GuppY" | "Site créé avec GuppY" +inurl:lng=
478;"Site powered by GuppY"
479;"Site produced by GeneralProducts.co.uk"
480;"Sitedesign by: Dieleman www.dieleman.nl - Copyright © 2010" 
481;"Siteman Version 1.1.9"
482;"SmodBIP" & "Aktualno.ci"
483;"SmodCMS" & "S.ownik"
484;"Software Categories" "Featured Resources" "Search"
485;"Software PBLang 4.66z" AND "Software PBLang 4.60" OR "Software PBLang"
486;"Software PBLang" 4.65 filetype:php
487;"Splatt Forum©"
488;"SquirrelMail version 1.4.4" inurl:src ext:php
489;"Starting bid" "Powered by SoftbizScripts" 
490;"TR Newsportal" brought by TRanx.
491;"TROforum 0.1"
492;"Tanyakan Pada Rumput Yang Bergoyang"  
493;"Tanyakan Pada Rumput Yang Bergoyang"
494;"Thank You for using WPCeasy"
495;"The Merchant Project"
496;"These forums are running on" "miniBB"
497;"This forum powered by Phorum."
498;"This is a Free & Open Source mailing list manager"
499;"This page has been automatically generated by Plesk Server Administrator"
500;"This script created by www.script.canavari.com"
501;"This script was created by Php-ZeroNet" "Script . Php-ZeroNet"
502;"This site is powered by CMS Made Simple version 1."
503;"This site is powered by CMS Made Simple version 1.2.2"
504;"This site is powered by CMS Made Simple"
505;"This site is powered by e107"
506;"This site is powered by e107"|inurl:e107_plugins|e107_handlers|e107_files
507;"This web site was made with MD-Pro"
508;"This web site was made with PostNuke"
509;"This website engine code is copyright" "2005 by Clever Copy" -inurl:demo
510;"This website is powered by Mobius"
511;"This website is powered by Trio"
512;"This website powered by PHPX" -demo
513;"This website was created with phpWebThings 1.4"
514;"This website was created with phpWebThings"
515;"TinyBB 2011 all rights reserved"
516;"Torbstoff News 4"
517;"Transloader by Somik.org" OR "Transloader by" OR "Transloder"
518;"Upload unique IP List:" AND "The Ultimate Fake Hit Generator - BOOST YOUR ALEXA RANK" 
519;"Uploader by CeleronDude." 
520;"Vivid Ads Shopping Cart"
521;"Web Group Communication Center beta 0.5.6" OR "Web Group Communication Center beta 0.5.5"
522;"Web Group Communication Center"
523;"Web Site Design by Red Cat Studios"
524;"Web site engine's code is copyright Â© 2001-2007 ATutorÂ®"
525;"WebCalendar v1.0.4"
526;"Webdesign Cosmos Solutions"
527;"Website Design by Rocktime"
528;"Website Powered By Creative SplashWorks - SplashSite" 
529;"Website by Spokane Web Communications"  
530;"Website by WebSolutions.ca"
531;"Website powered by Subdreamer CMS & Sequel Theme Designed by indiqo.media" 
532;"Welcome to Exponent CMS" | "my new exponent site"  inurl:articlemodule 
533;"Welcome to Exponent CMS" | "my new exponent site"
534;"Welcome to the versatileBulletinBoard" | "Powered by versatileBulletinBoard"
535;"X-CART. Powerful PHP shopping cart software"
536;"Yogurt build"
537;"You have not provided a survey identification num
538;"You have not provided a survey identification number"
539;"advanced_search_results.php?gender="
540;"and Powered By :Sansak"
541;"by Pivot - 1.40.5"  +'Dreadwind' -pivotlog.net
542;"by eXtreme Crew"
543;"by in-link"  or  "Powered by In-Link 2."
544;"cms SunLight 5.2"
545;"com_joom12pic"
546;"com_joomlaflashfun"
547;"com_lmo"
548;"copyright 2006 Broadband Mechanics"
549;"delete entries" inurl:admin/delete.asp
550;"download this free gallery at matteobinda.com"
551;"driven by: ASP Message Board"
552;"eCommerce Engine © 2006 xt:Commerce Shopsoftware" 
553;"error_log" inurl:/wp-content
554;"generated by Exhibit Engine 1.5 RC 4"
555;"hlstats.php?mode=dailyawardinfo&award=" hlstatsx 
556;"inc_webblogmanager.asp"
557;"index of" intext:fckeditor inurl:fckeditor
558;"index.php?id_menu=" CMScontrol   
559;"index.php?option=com_chronoconnectivity" / "com_chronoconnectivity
560;"index.php?option=com_chronocontact" / "com_chronocontact"
561;"index.php?option=com_expose" 
562;"index.php?option=com_mdigg"
563;"index.php?option=com_news_portal" or "Powered by iJoomla News Portal"
564;"index.php?option=com_qcontacts"
565;"index.php?option=com_resman"
566;"index.php?option=com_rwcards"
567;"index.php?option=com_sef" / "com_sef" 
568;"index.php?option=com_seyret" / "com_seyret"
569;"index.php?sbjoke_id="
570;"index.php?section=post_upload"  
571;"intext:Warning: passthru()" "inurl:view=help" 
572;"inurl:/admin/" "ImageVue" 
573;"inurl:/site/articles.asp?idcategory="
574;"inurl:cultbooking.php"
575;"is a product of Lussumo"
576;"is proudly powered by WordPress"
577;"kims Q - Administrator Login Mode"
578;"made visual by sightFACTORY"
579;"mirco blogging"
580;"mumbo jumbo media" + inurl:"index.php"
581;"nukeai beta3"
582;"pForum 1.29a"  OR ""Powie's PSCRIPT Forum 1.26"
583;"pForum 1.30"
584;"pages.php?page_ID=" "K9 Kreativity" 
585;"php-addressbook"
586;"phpQuestionnaire v3"
587;"portailphp v1.3" inurl:"index.php?affiche" inurl:"PortailPHP" -site:safari-msi.com
588;"powered by 4images"
589;"powered by AMCMS3"
590;"powered by Albinator"
591;"powered by AllMyGuests"
592;"powered by Blog System" 
593;"powered by Blue Dove Web Design"
594;"powered by CMS Made Simple version 1.1.2"
595;"powered by CubeCart 2.0"
596;"powered by CubeCart" inurl:"index.php?_a=" 
597;"powered by DBHcms" 
598;"powered by DreamAccount 3.1"
599;"powered by EQdkp"
600;"powered by ExtCalendar v2"
601;"powered by FlatPress"
602;"powered by Gallery v" "[slideshow]"|"images" inurl:gallery
603;"powered by Gradman"
604;"powered by GuppY v4"|"Site crÃƒÆ’Ã‚Â©ÃƒÆ’Ã‚Â© avec GuppY v4"
605;"powered by ILIAS"
606;"powered by ITWorking"
607;"powered by JAMM"
608;"powered by LionWiki " 
609;"powered by MODx"
610;"powered by Nabernet" 
611;"powered by PCPIN.com"
612;"powered by Pagetool"
613;"powered by PassWiki"
614;"powered by Photo-Graffix Flash Image Gallery"
615;"powered by PhpBB 2.0.15" -site:phpbb.com
616;"powered by Quick.Cart"
617;"powered by Sitellite"
618;"powered by Sniggabo CMS" inurl:article.php?id
619;"powered by SnoGrafx" 
620;"powered by TSEP - The Search Engine Project"
621;"powered by ThWboard"
622;"powered by WonderEdit Pro"
623;"powered by XHP CMS"
624;"powered by active php bookmarks" | inurl:bookmarks/view_group.php?id=
625;"powered by aflog"
626;"powered by antiboard"
627;"powered by bitweaver"
628;"powered by blur6ex"
629;"powered by claroline" -demo
630;"powered by clipshare"
631;"powered by dataface" "powered by xataface" 
632;"powered by devalcms v1.4.a"
633;"powered by discuz!
634;"powered by easytrade"
635;"powered by ezUserManager"
636;"powered by fuzzylime" 
637;"powered by gcards"
638;"powered by gelato cms"
639;"powered by guestbook script" -ihackstuff -exploit
640;"powered by guestbook script"
641;"powered by jaws" | "powered by the jaws project" | inurl:?gadget=search
642;"powered by jmdcms.com"
643;"powered by jshop" 
644;"powered by kure"
645;"powered by mcGalleryPRO"
646;"powered by minibb forum software"
647;"powered by minibb" -site:www.minibb.net -intext:1.7f
648;"powered by php advanced transfer manager"
649;"powered by php icalendar" -ihackstuff -exploit
650;"powered by php photo album" -demo2 -pitanje"
